Ana Marcia Delattre ,Faixa A ,Universidade Federal do Paraná ,PR ,UFPR ,SU
Ana Maria Esteves Bortolanza ,Faixa A ,Universidade de Uberaba ,MG ,UNIUBE ,SE
Ana Maria Paim Camardelo ,Faixa A ,Universidade de Caxias do Sul ,RS ,UCS ,SU
Ana Maria Revorêdo da Silva Ventura ,Faixa A ,Instituto Evandro Chagas ,PA ,IEC ,NO
Ana Patrícia de Carvalho da Silva ,Faixa A ,Universidade Federal do Tocantins ,TO ,UFT ,NO
Ana Paula Corona ,Faixa A ,Universidade Federal da Bahia ,BA ,UFBA ,NE
Ana Paula da Rosa ,Faixa A ,Universidade do Vale do Rio dos Sinos ,RS ,UNISINOS ,SU
Ana Paula da Silva Perez ,Faixa A ,Universidade Federal de Goiás ,GO ,UFG ,CO
Ana Paula de Araújo Chaves ,Faixa A ,Universidade Federal de Goiás ,GO ,UFG ,CO
Ana Paula de Carvalho Teixeira ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
Ana Paula de Souza Faloni ,Faixa A ,Centro Universitário de Araraquara ,SP ,UNIARA ,SE
Ana Paula Del Vesco ,Faixa A ,Universidade Estadual de Maringá ,PR ,UEM ,NE
Ana Paula Drummond Rodrigues ,Faixa A ,Instituto Evandro Chagas ,PA ,IEC ,NO
Ana Paula Farina ,Faixa A ,Universidade de Passo Fundo ,RS ,UPF ,SU
Ana Paula Fortuna Perez ,Faixa A ,Universidade Estadual Paulista Júlio de Mesquita Fil ,SP ,UNESP ,SE
Ana Paula Girol ,Faixa A ,Faculdades Integradas Padre Albino ,SP ,FIPA ,SE
Ana Paula Macedo ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Ana Paula Martins do Amaral Cunha ,Faixa A ,Centro Nacional de Monitoramento e Alertas de Desa ,SP ,CEMADEN ,SE
Ana Paula Morais Krelling ,Faixa A ,Universidade Federal do Ceará ,CE ,UFC ,NE
Ana Paula Moreira Barboza ,Faixa A ,Universidade Federal de Ouro Preto ,MG ,UFOP ,SE
Ana Paula Perini ,Faixa A ,Universidade Federal de Uberlândia ,MG ,UFU ,SE
Ana Paula Sampaio Caldeira ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
Ana Paula Santiago de Falco ,Faixa A ,Ministério da Defesa - Comando da Marinha ,DF ,MIN. DEFESA CM ,CO
Ana Paula Silva de Azevedo dos Santos ,Faixa A ,Universidade Federal do Maranhão ,MA ,UFMA ,NE
Ana Railka de Souza Oliveira Kumakura ,Faixa A ,Universidade Estadual de Campinas ,SP ,UNICAMP ,SE
Ana Tereza Bittencourt Guimarães ,Faixa A ,Universidade Estadual do Oeste do Paraná ,PR ,UNIOESTE ,SU
Ana Tereza Gomes Guerrero ,Faixa A ,Universidade Federal de Mato Grosso do Sul ,MS ,UFMS ,CO
Ana Thereza Chaves ,Faixa A ,Centro de Pesquisas René Rachou ,MG ,CPQRR ,SE
Anacharis Babeto de Sá-Nakanishi ,Faixa A ,Universidade Estadual de Maringá ,PR ,UEM ,SU
Anaelli Aparecida Nogueira Campos ,Faixa A ,Universidade Federal de Juiz de Fora ,MG ,UFJF ,SE
Anand Subramanian ,Faixa A ,Universidade Federal da Paraíba ,PB ,UFPB ,NE
Anderson dos Reis Albuquerque ,Faixa A ,Instituto Federal do Sertão Pernambucano ,PE ,IF-Sertão PE ,NE
Anderson Ferreira ,Faixa A ,Empresa Brasileira de Pesquisa Agropecuária ,DF ,EMBRAPA ,CO
Anderson Luis Nunes ,Faixa A ,"Instituto Federal de Educação, Ciência e Tecnologia ",RS ,IFRS ,SU
Anderson Mutter Teixeira ,Faixa A ,Universidade Federal de Goiás ,GO ,UFG ,CO
Anderson Raiol Rodrigues ,Faixa A ,Universidade Federal do Pará ,PA ,UFPA ,NO
Anderson Rodrigo da Silva ,Faixa A ,Instituto Federal Goiano ,GO ,IF Goiano ,CO
Anderson Zampier Ulbrich ,Faixa A ,Universidade Federal do Paraná ,PR ,UFPR ,SU
André Andrian Padial ,Faixa A ,Universidade Federal do Paraná ,PR ,UFPR ,SU
Andre Asevedo Nepomuceno ,Faixa A ,Universidade Federal Fluminense ,RJ ,UFF ,SE
Andre Augusto Campagnole dos Santos ,Faixa A ,Comissão Nacional de Energia Nuclear ,RJ ,CNEN ,SE
André Britto de Carvalho ,Faixa A ,Universidade Federal de Sergipe ,SE ,UFS ,NE
Andre Carlos Lehum ,Faixa A ,Universidade Federal do Pará ,PA ,UFPA ,NO
André Cechinel ,Faixa A ,Universidade do Extremo Sul Catarinense ,SC ,UNESC ,SU
André de Lima Moura ,Faixa A ,Universidade Federal de Alagoas ,AL ,UFAL ,NE
André Domingues dos Santos ,Faixa A ,Universidade Federal do Sul da Bahia ,BA ,UFSB ,NE
